ThÃ¨me;CatÃ©gorie;Mot francais;Synonyme francais;Description;Traduction;TradEG;TradD;TradA;TradH;TradAv;TradP;TradX
Nature;Plantes Potageres;Ail;;;Aiet Ayet Ailhet Gousse Veno Botte Res Aieto Alheto Ail Nouveau Ail Rosé Aiet De Serp Ai Ou Aiet Ail;;;Ailhet Veno Res;;Ayet;;Aiet Féro
Nature;Plantes Potageres;Aneth;Aneth Odorant Fenouil Bétard Ou Faux Anis;;Anet Escarlato Fenoui Bastard;;;;;;Anet;Escarlato Bastard
Nature;Plantes Potageres;Anis;;;Anis Fenoui DAnis;;;;;;Anis;DAnis
Nature;Plantes Potageres;Artichaut;;;Artichaou Ou Cachoflo Plante Cachouflier Aussi Carchoflo Artichau Cachofle Bartichaou Cachofle Ou Ca;;;Cachoflo Carchoflo;;Bartichaou Artichaou;Artichau Cachofle;Cachoflo
Nature;Plantes Potageres;Asperge;;;Aspergeo Espargo;;;Aspergeo;;;;Espargo
Nature;Plantes Potageres;Aubergine;;;Merinjano Meringeano Aussi Aubérgino Merinjhano Aubergino Merijoun Viedase Viedai;;;Merinjano Aubérgino;;Merinjhano;;Aubergino Merijoun Viedai
Nature;Plantes Potageres;Basilic;;;Balico Ou Basili Belico Ou Beliquo Baliquo Basilicon Sorte DOnguent Enquent Balicot Baseli Basile Ba;;;Balicot;;Baliquo Enquent;Basili;Baseli Basiéli
Nature;Plantes Potageres;Baume;;;BeliquoDHiver Espéce De Menthe Vivace;;;;;Vivace;;
Nature;Plantes Potageres;Betterave;;;HerbetoRabo ArbettoRabo Ou Betorabo Bleto Rabo Blettorabo BledoRabo Arbetarrabo Betarrabo Bletorabo;;;Bletorabo;;Blettorabo BledoRabo;Betorabo Rabo;BledoRabo Blet Liseto
Nature;Plantes Potageres;Blettes Voir Poirée;;;Bled Blet Ou Bledo Bleto Harbetos Herbetto Erboulat Bledo Ourquet;;;Bledo;;Herbetto;Bleto Harbetos;Erboulat Ourquet
Nature;Plantes Potageres;Brocolis;;;Brocoli Broutoun;;;;;Broutoun;;
Nature;Plantes Potageres;Calebasse;;;Carabasso Fliasco Trusco;;;;;Fliasco;;Trusco
Nature;Plantes Potageres;Cardon;;;Cardo;;;;;Cardo;;
Nature;Plantes Potageres;Carottes;;;Pastenargo Carroto Garroto;;;;;Carroto;;
Nature;Plantes Potageres;Céleri;;;Api épi;;;;;;Api;épi
Nature;Plantes Potageres;Céleri Rave;;;épi Rabo;;;;;;;Rabo
Nature;Plantes Potageres;Cerfeuil;;;Juvertin Aussi Cherfuilh Charfueilh Menut Cerfuei Nestoun Cherfui Cherfuei Carfueil Juvertin;;;Menut Nestoun Carfueil;;Cherfuei;Cherfui;Cerfuei Juvertin
Nature;Plantes Potageres;Choux;;;Cooulé Ou Caulet Caule Caule Cabus Cooulet Cabus Ou Cassut Cauliho;;;Caulet;;Cooulet;Caule;Cassut
Nature;Plantes Potageres;Choux Broccoli;;;Caulet Broco Caulet Arpian;;;;;;;Arpian
Nature;Plantes Potageres;Choux Fleur;;;Caule Flori CoouletFlori Caulet Fléri;;;;;CoouletFlori;Flori;Fléri
Nature;Plantes Potageres;Choux Frisé;;;Caulet Milanés;;;;;;;Milanés
Nature;Plantes Potageres;Choux Pommé;;;Caulet Cabus;;;;;;;Cabus
Nature;Plantes Potageres;Choux Rave;;;Caulet Rabo;;;;;;;Rabo
